station,line,lat,lon
고색역,수인분당선,37.249772,126.980573
고속터미널역,3호선,37.504549,127.005121
고속터미널역,7호선,37.503387,127.005008
고속터미널역,9호선,37.505981,127.004212
고잔역,4호선,37.316769,126.823599
고잔역,수인분당선,37.316825,126.822470
고진역,용인에버라인,37.244638,127.214184
고촌역,김포골드라인,37.601213,126.770326
고촌역,부산4호선,35.236014,129.160476
곡산역,경의중앙선,37.646079,126.801603
곡산역,서해선,37.645352,126.802027
곤제역,의정부경전철,37.750537,127.083822
곤지암역,경강선,37.350540,127.346251
공덕역,5호선,37.544542,126.951451
공덕역,6호선,37.543530,126.951895
공덕역,경의중앙선,37.542474,126.952720
공덕역,공항철도,37.542315,126.952602
공릉역,7호선,37.625543,127.073034
공항시장역,9호선,37.563689,126.810610
공항역,부산김해경전철,35.171909,128.948564
공항화물청사역,공항철도,37.459061,126.477516
과천역,4호선,37.432875,126.996617
관악산역,신림선,37.469086,126.945100
관악역,1호선,37.419568,126.908500
광교역,신분당선,37.302112,127.044269
광교중앙역,신분당선,37.288384,127.051726
광나루역,5호선,37.545299,127.103521
광명사거리역,7호선,37.479298,126.854874
광명역,1호선,37.416736,126.884962
광안역,부산2호선,35.157859,129.113145
광운대역,1호선,37.623837,127.061695
광운대역,경춘선,37.623916,127.061985
광화문역,5호선,37.571649,126.976424
광흥창역,6호선,37.547486,126.932030
괘법르네시떼역,부산김해경전철,35.163272,128.977658
괴정역,부산1호선,35.099936,128.992487
교대역,2호선,37.493900,127.014384
교대역,3호선,37.492743,127.013868
교대역,동해선,35.193712,129.079525
교대역,부산1호선,35.195784,129.079997
구남역,부산2호선,35.196690,128.994852
구래역,김포골드라인,37.645393,126.628576
구로디지털단지역,2호선,37.485261,126.901473
구로역,1호선,37.503342,126.882308
구룡역,수인분당선,37.487027,127.059493
구리역,8호선,37.602559,127.140725
구리역,경의중앙선,37.603269,127.143351
구명역,부산2호선,35.202809,128.999556
구반포역,9호선,37.501440,126.987465
구산역,6호선,37.611247,126.917259
구서역,부산1호선,35.247282,129.091288
구성역,GTX-A,37.299107,127.103861
구성역,수인분당선,37.298979,127.105696
구의역,2호선,37.537175,127.086181
구일역,1호선,37.496255,126.869691
구파발역,3호선,37.636436,126.918853
구포역,부산3호선,35.206618,128.996342
국수역,경의중앙선,37.516187,127.399310
국제금융센터.부산은행역,부산2호선,35.145921,129.066744
국제업무지구역,인천1호선,37.399658,126.630542
국회의사당역,9호선,37.528147,126.917839
군자역,5호선,37.557151,127.079511
군자역,7호선,37.557455,127.079668
군포역,1호선,37.354192,126.948518
굴봉산역,경춘선,37.832066,127.557770
굴포천역,7호선,37.507046,126.731348
굽은다리역,5호선,37.545518,127.142884
귤현역,인천1호선,37.566299,126.742679
금곡역,경춘선,37.637355,127.207534
금곡역,부산2호선,35.267241,129.016807
금련산역,부산2호선,35.149693,129.110961
금릉역,경의중앙선,37.751339,126.765410
금사역,부산4호선,35.215786,129.115121
금정역,1호선,37.372337,126.943270
금정역,4호선,37.372468,126.943473
금천구청역,1호선,37.456194,126.893609
금촌역,경의중앙선,37.766227,126.774633
금호역,3호선,37.548261,127.015829
기장역,동해선,35.244552,129.218862
기흥역,수인분당선,37.275497,127.115955
기흥역,용인에버라인,37.275453,127.117046
길동역,5호선,37.537826,127.140021
길음역,4호선,37.603395,127.025060
김량장역,용인에버라인,37.237324,127.198611
김포공항역,5호선,37.562100,126.801257
김포공항역,9호선,37.561968,126.801914
김포공항역,공항철도,37.561830,126.802473
김포공항역,김포골드라인,37.562330,126.801992
김포공항역,서해선,37.561796,126.804152
김해대학역,부산김해경전철,35.228997,128.915582
김해시청역,부산김해경전철,35.227122,128.890388
까치산역,2호선,37.531406,126.846948
까치산역,5호선,37.532231,126.846444
까치울역,7호선,37.506227,126.811340
낙민역,부산4호선,35.200219,129.090779
낙성대역,2호선,37.477093,126.963524
남구로역,7호선,37.486257,126.887415
남동구청역,인천2호선,37.448175,126.736566
남동인더스파크역,수인분당선,37.407742,126.695227
남부터미널역,3호선,37.485200,127.016200
남산역,부산1호선,35.265203,129.092417
남산정역,부산3호선,35.213324,129.023753
남성역,7호선,37.484794,126.970910
남양산역,부산2호선,35.325448,129.019414
남영역,1호선,37.540567,126.971331
남위례역,8호선,37.462723,127.139351
남창역,동해선,35.419695,129.282212
남천역,부산2호선,35.142015,129.107838
남태령역,4호선,37.464250,126.989085
남포역,부산1호선,35.097906,129.034736
남한산성입구역,8호선,37.451669,127.159883
낫개역,부산1호선,35.065335,128.979663
내방역,7호선,37.487659,126.993600
냉정역,부산2호선,35.151256,129.012119
노들역,9호선,37.512672,126.953096
노량진역,1호선,37.514055,126.942110
노량진역,9호선,37.513586,126.940893
노원역,4호선,37.656340,127.063449
노원역,7호선,37.654511,127.060556
노포역,부산1호선,35.283844,129.095024
녹번역,3호선,37.600807,126.935828
녹사평역,6호선,37.534723,126.986550
녹양역,1호선,37.759385,127.042279
녹천역,1호선,37.644633,127.051382
논현역,7호선,37.511200,127.021654
논현역,신분당선,37.510413,127.021679
능곡역,경의중앙선,37.618987,126.820634
능곡역,서해선,37.618838,126.820466
다대포항역,부산1호선,35.057678,128.971307
다대포해수욕장역,부산1호선,35.048161,128.965783
다산역,8호선,37.624278,127.149797
단대오거리역,8호선,37.445022,127.156770
달미역,서해선,37.348788,126.809416
달월역,수인분당선,37.380027,126.745403
답십리역,5호선,37.566975,127.052561
당곡역,신림선,37.490223,126.927561
당리역,부산1호선,35.103567,128.973697
당산역,2호선,37.534784,126.902612
당산역,9호선,37.533789,126.902165
당정역,1호선,37.343690,126.948371
대곡역,3호선,37.631697,126.810931
대곡역,GTX-A,37.632406,126.810475
대곡역,경의중앙선,37.631950,126.810009
대곡역,서해선,37.631858,126.809721
대공원역,4호선,37.436056,127.006752
대림역,2호선,37.493310,126.894931
대림역,7호선,37.492843,126.896723
대모산입구역,수인분당선,37.491550,127.073070
대방역,1호선,37.513354,126.926494
대방역,신림선,37.512814,126.925416
대사역,부산김해경전철,35.217697,128.938391
대성리역,경춘선,37.683990,127.379706
대야미역,4호선,37.327965,126.916898
대연역,부산2호선,35.135125,129.092119
대저역,부산3호선,35.213314,128.960973
대저역,부산김해경전철,35.213045,128.960633
대청역,3호선,37.493708,127.079528
대치역,3호선,37.494497,127.063203
대티역,부산1호선,35.103158,128.999943
대화역,3호선,37.676157,126.747501
대흥역,6호선,37.547648,126.942473
덕계역,1호선,37.818753,127.056692
덕두역,부산김해경전철,35.181994,128.954179
덕소역,경의중앙선,37.586890,127.208843
덕정역,1호선,37.843188,127.061559
덕천역,부산2호선,35.210435,129.005175
덕천역,부산3호선,35.210297,129.006060
덕포역,부산2호선,35.173323,128.983802
도곡역,3호선,37.490974,127.055499
도곡역,수인분당선,37.491628,127.055108
도농역,경의중앙선,37.608773,127.161179
도림천역,2호선,37.514508,126.882649
도봉산역,1호선,37.689512,127.046063
도봉산역,7호선,37.689630,127.046426
도봉역,1호선,37.679212,127.045535
도심역,경의중앙선,37.579639,127.222684
도원역,1호선,37.468773,126.642535
도화역,1호선,37.466118,126.668576
독립문역,3호선,37.574466,126.957914
독바위역,6호선,37.618414,126.933054
독산역,1호선,37.465974,126.889478
독정역,인천2호선,37.584848,126.676003
돌곶이역,6호선,37.610545,127.056438
동구릉역,8호선,37.611049,127.138002
동대문역,1호선,37.571669,127.010634
동대문역,4호선,37.570907,127.009314
동대문역사문화공원역,2호선,37.565664,127.009004
동대문역사문화공원역,4호선,37.565034,127.007698
동대문역사문화공원역,5호선,37.564622,127.005792
동대신역,부산1호선,35.110321,129.017733
동대입구역,3호선,37.559056,127.005316
동두천역,1호선,37.927613,127.054928
동두천중앙역,1호선,37.901781,127.056423
동래역,동해선,35.197196,129.091325
동래역,부산1호선,35.205616,129.078474
동래역,부산4호선,35.204709,129.077326
동막역,인천1호선,37.397942,126.673448
동매역,부산1호선,35.089756,128.973526
동묘앞역,1호선,37.573217,127.016364
동묘앞역,6호선,37.572172,127.015726
동백역,부산2호선,35.161337,129.147990
동백역,용인에버라인,37.269101,127.152691
동수역,인천1호선,37.485507,126.718606
동암역,1호선,37.470696,126.702890
동오역,의정부경전철,37.745270,127.056985
동원역,부산2호선,35.258645,129.012411
동의대역,부산2호선,35.154061,129.032597
동인천역,1호선,37.475402,126.632616
동작역,4호선,37.502980,126.980315
동작역,9호선,37.502941,126.978103
동천역,신분당선,37.337843,127.102870
동춘역,인천1호선,37.404576,126.680851
동탄역,GTX-A,37.199756,127.095494
두실역,부산1호선,35.257017,129.091371
두정역,1호선,36.833981,127.148943
둔전역,용인에버라인,37.267212,127.213639
둔촌동역,5호선,37.527657,127.136215
둔촌오륜역,9호선,37.519408,127.138652
등구역,부산김해경전철,35.196153,128.963542
등촌역,9호선,37.550729,126.865571
디지털미디어시티역,6호선,37.576014,126.901278
디지털미디어시티역,경의중앙선,37.577402,126.900691
디지털미디어시티역,공항철도,37.577521,126.897882
뚝섬역,2호선,37.547242,127.047387
마곡나루역,9호선,37.566713,126.827421
마곡나루역,공항철도,37.565632,126.827496
마곡역,5호선,37.560229,126.824697
마두역,3호선,37.652241,126.777611
마들역,7호선,37.665202,127.057713
마산역,김포골드라인,37.640612,126.644004
마석역,경춘선,37.652792,127.311687
마장역,5호선,37.566139,127.042985
마전역,인천2호선,37.597635,126.667221
마천역,5호선,37.495038,127.152860
마포구청역,6호선,37.563487,126.903426
마포역,5호선,37.539554,126.945863
만덕역,부산3호선,35.213004,129.036275
만수역,인천2호선,37.454976,126.731736
망미역,부산3호선,35.171498,129.108315
망우역,경의중앙선,37.599296,127.092367
망우역,경춘선,37.600017,127.091739
망원역,6호선,37.556083,126.910094
망월사역,1호선,37.710219,127.047418
망포역,수인분당선,37.245654,127.057325
매교역,수인분당선,37.265483,127.015890
매봉역,3호선,37.486939,127.046711
매탄권선역,수인분당선,37.252506,127.040809
먹골역,7호선,37.610619,127.077762
면목역,7호선,37.588715,127.087504
명동역,4호선,37.560965,126.986402
명륜역,부산1호선,35.212575,129.079703
명일역,5호선,37.551398,127.144044
명장역,부산4호선,35.205408,129.101874
명지대역,용인에버라인,37.238076,127.190291
명학역,1호선,37.384460,126.935593
모덕역,부산2호선,35.180412,128.985603
모라역,부산2호선,35.189545,128.988570
모란역,8호선,37.434038,127.129970
모란역,수인분당선,37.432057,127.129132
모래내시장역,인천2호선,37.455863,126.719622
목동역,5호선,37.526135,126.864625
못골역,부산2호선,35.134725,129.084381
몽촌토성역,8호선,37.517806,127.112865
무악재역,3호선,37.582563,126.950231
문래역,2호선,37.517976,126.894779
문산역,경의중앙선,37.854627,126.787395
문정역,8호선,37.486031,127.122485
문학경기장역,인천1호선,37.434651,126.698449
문현역,부산2호선,35.139043,129.067395
물만골역,부산3호선,35.176797,129.085710
미금역,수인분당선,37.350072,127.109007
미금역,신분당선,37.350072,127.108799
미남역,부산3호선,35.205404,129.067996
미남역,부산4호선,35.206845,129.068989
미사역,5호선,37.562991,127.192491
미아사거리역,4호선,37.613278,127.030087
미아역,4호선,37.626654,127.026041
민락역,부산2호선,35.167063,129.122097
박물관역,부산김해경전철,35.240059,128.871887
박촌역,인천1호선,37.553661,126.745067
반여농산물시장역,부산4호선,35.217750,129.123996
반월역,4호선,37.312382,126.903824
반포역,7호선,37.508161,127.011586
발곡역,의정부경전철,37.727148,127.052969
발산역,5호선,37.558678,126.837736
방배역,2호선,37.481456,126.997553
방이역,5호선,37.508751,127.126096
방학역,1호선,37.667438,127.044322
방화역,5호선,37.577603,126.812819
배방역,1호선,36.777697,127.052788
배산역,부산3호선,35.173494,129.095582
백마역,경의중앙선,37.658536,126.794334
백마역,서해선,37.657797,126.794766
백석역,3호선,37.642962,126.788132
백양리역,경춘선,37.830792,127.589325
백운역,1호선,37.483342,126.707294
버티고개역,6호선,37.547828,127.006731
범계역,4호선,37.389784,126.950783
범골역,의정부경전철,37.728788,127.043669
범내골역,부산1호선,35.147313,129.059248
범어사역,부산1호선,35.273063,129.092641
범일역,부산1호선,35.140803,129.059353
벡스코역,동해선,35.171240,129.136705
벡스코역,부산2호선,35.168834,129.138868
별내별가람역,4호선,37.667846,127.116242
별내역,8호선,37.642487,127.127283
별내역,경춘선,37.642067,127.126969
병점역,1호선,37.206755,127.033202
보라매공원역,신림선,37.495446,126.918141
보라매병원역,신림선,37.492964,126.923550
보라매역,7호선,37.499921,126.920612
보라매역,신림선,37.500307,126.920437
보문역,6호선,37.585542,127.020004
보문역,우이신설경전철,37.585044,127.019551
보산역,1호선,37.914144,127.057181
보정역,수인분당선,37.312775,127.108337
보평역,용인에버라인,37.258964,127.218481
복정역,8호선,37.470744,127.126722
복정역,수인분당선,37.469042,127.126578
봉명역,1호선,36.801420,127.136038
봉은사역,9호선,37.514255,127.060234
봉천역,2호선,37.482473,126.941687
봉화산역,6호선,37.617351,127.091360
봉황역,부산김해경전철,35.227282,128.874278
부개역,1호선,37.488477,126.740730
부발역,경강선,37.260392,127.490322
부산대양산캠퍼스역,부산2호선,35.316826,129.013992
부산대역,부산1호선,35.229649,129.089425
부산역,부산1호선,35.114541,129.039344
부산원동역,동해선,35.193621,129.114254
부산진역,부산1호선,35.127798,129.047866
부원역,부산김해경전철,35.226494,128.883942
부전역,동해선,35.164032,129.059441
부전역,부산1호선,35.162559,129.062947
부천시청역,7호선,37.504656,126.764014
부천역,1호선,37.483990,126.783083
부천종합운동장역,7호선,37.505426,126.797235
부천종합운동장역,서해선,37.506154,126.797602
부평구청역,7호선,37.507434,126.721440
부평구청역,인천1호선,37.508466,126.720583
부평삼거리역,인천1호선,37.477835,126.710294
부평시장역,인천1호선,37.498364,126.722285
부평역,1호선,37.489449,126.724331
부평역,인천1호선,37.490377,126.723455
북한산보국문역,우이신설경전철,37.612137,127.008263
북한산우이역,우이신설경전철,37.662887,127.012757
불광역,3호선,37.610048,126.930316
불광역,6호선,37.610878,126.929395
불암산역,4호선,37.670218,127.079067
불암역,부산김해경전철,35.222144,128.927831
사가정역,7호선,37.580940,127.088505
사당역,2호선,37.476562,126.981559
사당역,4호선,37.477591,126.981699
사릉역,경춘선,37.651124,127.176926
사리역,수인분당선,37.290641,126.857104
사상역,부산2호선,35.162690,128.984408
사상역,부산김해경전철,35.162328,128.985984
사우역,김포골드라인,37.620321,126.719767
사직역,부산3호선,35.198622,129.065193
사평역,9호선,37.504233,127.015272
사하역,부산1호선,35.099768,128.983395
산곡역,7호선,37.508607,126.703544
산본역,4호선,37.358019,126.933046
산성역,8호선,37.456881,127.149942
삼가역,용인에버라인,37.242060,127.168180
삼각지역,4호선,37.534439,126.972923
삼각지역,6호선,37.535606,126.974055
삼동역,경강선,37.408687,127.203384
삼산체육관역,7호선,37.506503,126.741422
삼성역,2호선,37.508823,127.063023
삼성중앙역,9호선,37.512961,127.053044
삼송역,3호선,37.653265,126.895734
삼양사거리역,우이신설경전철,37.621318,127.020489
삼양역,우이신설경전철,37.626919,127.018157
삼전역,9호선,37.504549,127.087364
상갈역,수인분당선,37.261812,127.108737
상계역,4호선,37.660721,127.073422
상도역,7호선,37.502871,126.947918
상동역,7호선,37.505789,126.753192
상록수역,4호선,37.302852,126.866606
상봉역,7호선,37.595585,127.085754
상봉역,경의중앙선,37.596714,127.085151
상봉역,경춘선,37.596973,127.085086
상수역,6호선,37.547766,126.922430
상왕십리역,2호선,37.564437,127.029272
상월곡역,6호선,37.606559,127.048829
상일동역,5호선,37.556678,127.165906
상천역,경춘선,37.770178,127.454516
상현역,신분당선,37.297829,127.069364
새말역,의정부경전철,37.748849,127.063760
새절역,6호선,37.590860,126.913581
샛강역,9호선,37.517373,126.928375
샛강역,신림선,37.517166,126.929463
서강대역,경의중앙선,37.552138,126.935508
서대문역,5호선,37.565752,126.966638
서대신역,부산1호선,35.110912,129.012133
서동역,부산4호선,35.213168,129.107525
서동탄역,1호선,37.195735,127.051857
서면역,부산1호선,35.157939,129.059301
서면역,부산2호선,35.157646,129.058306
서부산유통지구역,부산김해경전철,35.166370,128.954911
서부여성회관역,인천2호선,37.500345,126.675868
서빙고역,경의중앙선,37.519568,126.988411
서생역,동해선,35.346204,129.293053
서울대벤처타운역,신림선,37.472002,126.933960
서울대입구역,2호선,37.481285,126.952713
서울숲역,수인분당선,37.543646,127.044746
서울역,1호선,37.555979,126.972092
서울역,4호선,37.553028,126.972642
서울역,GTX-A,37.555488,126.972637
서울역,경의중앙선,37.556933,126.971318
서울역,공항철도,37.553329,126.969750
서울지방병무청역,신림선,37.506055,126.922714
서원역,신림선,37.478239,126.933110
서정리역,1호선,37.056564,127.052882
서초역,2호선,37.491850,127.007662
서해구청역,인천2호선,37.544045,126.676844
서현역,수인분당선,37.385015,127.123431
석계역,1호선,37.615006,127.065689
석계역,6호선,37.615149,127.066703
석남역,7호선,37.506243,126.676149
석남역,인천2호선,37.507474,126.676300
석대역,부산4호선,35.218137,129.137021
석바위시장역,인천2호선,37.457669,126.692353
석수역,1호선,37.435093,126.902321
석천사거리역,인천2호선,37.456788,126.710422
석촌고분역,9호선,37.502462,127.096508
석촌역,8호선,37.505414,127.107004
석촌역,9호선,37.504973,127.106765
선릉역,2호선,37.504497,127.048963
선릉역,수인분당선,37.505168,127.048710
선바위역,4호선,37.451748,127.002229
선부역,서해선,37.334408,126.809990
선유도역,9호선,37.538159,126.893334
선정릉역,9호선,37.510324,127.044015
선정릉역,수인분당선,37.510933,127.043627
선학역,인천1호선,37.426947,126.698923
성균관대역,1호선,37.300329,126.971022
성남역,GTX-A,37.394328,127.120548
성남역,경강선,37.394745,127.119560
성복역,신분당선,37.313532,127.080384
성수역,2호선,37.544589,127.056067
성신여대입구역,4호선,37.592968,127.017126
성신여대입구역,우이신설경전철,37.592383,127.016550
성환역,1호선,36.915953,127.126837
세류역,1호선,37.243873,127.013800
세마역,1호선,37.187135,127.043427
세종대왕릉역,경강선,37.293633,127.570660
센텀시티역,부산2호선,35.168949,129.131765
센텀역,동해선,35.179512,129.124436
센트럴파크역,인천1호선,37.392846,126.634989
소래포구역,수인분당선,37.400940,126.733492
소사역,1호선,37.482801,126.795647
소사역,서해선,37.482906,126.795061
소새울역,서해선,37.468510,126.797282
소요산역,1호선,37.948898,127.061129
솔밭공원역,우이신설경전철,37.655978,127.013268
솔샘역,우이신설경전철,37.620260,127.013552
송내역,1호선,37.487641,126.753159
송도달빛축제공원역,인천1호선,37.406920,126.626018
송도역,수인분당선,37.429962,126.654676
송산역,의정부경전철,37.737276,127.087215
송정역,5호선,37.561161,126.812430
송탄역,1호선,37.075713,127.054280
송파나루역,9호선,37.511017,127.112662
송파역,8호선,37.499715,127.112194
수내역,수인분당선,37.378469,127.114289
수락산역,7호선,37.677881,127.055351
수로왕릉역,부산김해경전철,35.232820,128.872164
수리산역,4호선,37.350558,126.925631
수색역,경의중앙선,37.580863,126.895659
수서역,3호선,37.487460,127.102059
수서역,GTX-A,37.486637,127.102559
수서역,수인분당선,37.487916,127.100969
수안역,부산4호선,35.201737,129.083848
수영역,부산2호선,35.165680,129.114810
수영역,부산3호선,35.167597,129.114855
수원시청역,수인분당선,37.261923,127.030857
수원역,1호선,37.265682,127.000050
수원역,수인분당선,37.266283,127.000248
수유역,4호선,37.637885,127.025509
수정역,부산2호선,35.223183,129.009105
수지구청역,신분당선,37.322493,127.094659
수진역,8호선,37.437378,127.140535
숙대입구역,4호선,37.544595,126.972118
숙등역,부산3호선,35.212078,129.013193
숭실대입구역,7호선,37.496317,126.953622
숭의역,수인분당선,37.460800,126.638410
시민공원역,인천2호선,37.458385,126.681075
시우역,서해선,37.313164,126.795742
시청.용인대역,용인에버라인,37.239442,127.178885
시청역,1호선,37.565345,126.977198
시청역,2호선,37.563682,126.975598
시청역,부산1호선,35.179679,129.076559
시흥능곡역,서해선,37.369947,126.808721
시흥대야역,서해선,37.450100,126.792994
시흥시청역,서해선,37.381562,126.805948
신갈역,수인분당선,37.286148,127.111285
신검단중앙역,인천1호선,37.602652,126.698479
신금호역,5호선,37.554476,127.020493
신길역,1호선,37.516787,126.918367
신길역,5호선,37.517664,126.914914
신길온천역,4호선,37.337375,126.767522
신길온천역,수인분당선,37.337893,126.766559
신내역,6호선,37.612491,127.104271
신내역,경춘선,37.612705,127.103225
신논현역,9호선,37.504811,127.025492
신논현역,신분당선,37.503616,127.024926
신답역,2호선,37.569839,127.047080
신당역,2호선,37.565673,127.019478
신당역,6호선,37.566093,127.016176
신대방삼거리역,7호선,37.499757,126.928211
신대방역,2호선,37.487650,126.913507
신도림역,1호선,37.508908,126.891313
신도림역,2호선,37.508222,126.891611
신둔도예촌역,경강선,37.315613,127.405243
신림역,2호선,37.484267,126.929745
신림역,신림선,37.484882,126.929629
신목동역,9호선,37.544288,126.883096
신반포역,9호선,37.503509,126.996082
신방화역,9호선,37.567487,126.817238
신사역,3호선,37.516436,127.020309
신사역,신분당선,37.516082,127.019552
신설동역,1호선,37.576030,127.024457
신설동역,2호선,37.574805,127.024918
신설동역,우이신설경전철,37.576551,127.023207
신연수역,인천1호선,37.418108,126.694020
신용산역,4호선,37.529259,126.967965
신원역,경의중앙선,37.525586,127.373092
신이문역,1호선,37.601782,127.067398
신장림역,부산1호선,35.074743,128.976593
신정네거리역,2호선,37.520223,126.852890
신정역,5호선,37.525028,126.856097
신중동역,7호선,37.502952,126.776898
신천역,서해선,37.439246,126.786785
신촌역,2호선,37.555198,126.936981
신촌역,경의중앙선,37.559675,126.942089
신평역,부산1호선,35.095229,128.960619
신포역,수인분당선,37.468453,126.624533
신풍역,7호선,37.500123,126.909754
신해운대역,동해선,35.181731,129.176849
신현역,서해선,37.409565,126.787838
신흥역,8호선,37.440923,127.147538
쌍문역,4호선,37.648543,127.034656
쌍용역,1호선,36.793726,127.121378
아라역,인천1호선,37.592202,126.713380
아산역,1호선,36.792117,127.104077
아시아드경기장역,인천2호선,37.551314,126.677106
아신역,경의중앙선,37.513919,127.443211
아차산역,5호선,37.552249,127.089565
아현역,2호선,37.557406,126.956146
안국역,3호선,37.576502,126.985421
안락역,동해선,35.196090,129.100650
안산역,4호선,37.326859,126.789216
안산역,수인분당선,37.327401,126.788019
안암역,6호선,37.586307,127.029233
안양역,1호선,37.401684,126.922730
안평역,부산4호선,35.237369,129.171763
암사역,8호선,37.550158,127.127541
암사역사공원역,8호선,37.557184,127.137563
압구정로데오역,수인분당선,37.527518,127.040603
압구정역,3호선,37.526491,127.028509
애오개역,5호선,37.553413,126.956669
야당역,경의중앙선,37.712611,126.761454
야목역,수인분당선,37.261424,126.883775
야탑역,수인분당선,37.411374,127.128743
약수역,3호선,37.554505,127.010892
약수역,6호선,37.553925,127.010154
양산역,부산2호선,35.338750,129.026444
양수역,경의중앙선,37.545963,127.329138
양원역,경의중앙선,37.606606,127.107946
양재시민의숲역,신분당선,37.470133,127.038471
양재역,3호선,37.484577,127.034164
양재역,신분당선,37.483466,127.035154
양정역,경의중앙선,37.604028,127.194669
양정역,부산1호선,35.172795,129.071094
양주역,1호선,37.774142,127.044721
양천구청역,2호선,37.512389,126.865722
양천향교역,9호선,37.568081,126.841979
양촌역,김포골드라인,37.641784,126.614626
양평역,5호선,37.525580,126.886419
양평역,경의중앙선,37.492684,127.492248
어룡역,의정부경전철,37.742694,127.085207
어린이대공원역,7호선,37.547961,127.074655
어정역,용인에버라인,37.274951,127.143750
어천역,수인분당선,37.250088,126.908801
언주역,9호선,37.507335,127.033971
여의나루역,5호선,37.527147,126.932986
여의도역,5호선,37.521775,126.924398
여의도역,9호선,37.521170,126.924661
역곡역,1호선,37.485315,126.812059
역삼역,2호선,37.500674,127.036469
역촌역,6호선,37.606227,126.922844
연산역,부산1호선,35.186038,129.081603
연산역,부산3호선,35.185678,129.082011
연수역,수인분당선,37.417928,126.678747
연신내역,3호선,37.619204,126.921103
연신내역,6호선,37.618514,126.920455
연신내역,GTX-A,37.618936,126.920638
연지공원역,부산김해경전철,35.249640,128.869286
연천역,1호선,38.100607,127.073674
염창역,9호선,37.546983,126.874872
영등포구청역,2호선,37.525831,126.896677
영등포구청역,5호선,37.524229,126.895322
영등포시장역,5호선,37.522709,126.905180
영등포역,1호선,37.515673,126.907550
영산대역,부산4호선,35.225596,129.146116
영종역,공항철도,37.512029,126.524974
영통역,수인분당선,37.251504,127.071332
예술회관역,인천1호선,37.448526,126.700916
오금역,3호선,37.502322,127.128483
오금역,5호선,37.502139,127.127953
오남역,4호선,37.705164,127.191105
오류동역,1호선,37.494397,126.844807
오리역,수인분당선,37.339831,127.108949
오목교역,5호선,37.524534,126.875307
오목천역,수인분당선,37.243360,126.963903
오빈역,경의중앙선,37.506167,127.473661
오산대역,1호선,37.169350,127.063076
오산역,1호선,37.144717,127.066630
오시리아역,동해선,35.196246,129.208313
오이도역,4호선,37.361703,126.738404
오이도역,수인분당선,37.362929,126.738923
옥수역,3호선,37.541566,127.017394
옥수역,경의중앙선,37.540512,127.018745
온수역,1호선,37.492400,126.823829
온수역,7호선,37.491968,126.823848
온양온천역,1호선,36.780545,127.003181
온천장역,부산1호선,35.220271,129.086435
올림픽공원역,5호선,37.516339,127.130964
올림픽공원역,9호선,37.516116,127.130253
